"","regiao","serie","dep_adm","n","ano"
"126","Norte","qua","est",1410,"2021"
"127","Norte","qua","mun",0,"2021"
"128","Norte","qua","pri",130,"2021"
"129","Nordeste","ter","fed",19583,"2021"
"130","Nordeste","ter","est",609253,"2021"
"131","Nordeste","ter","mun",1434,"2021"
"132","Nordeste","ter","pri",63713,"2021"
"133","Nordeste","qua","fed",7657,"2021"
"134","Nordeste","qua","est",6624,"2021"
"135","Nordeste","qua","mun",277,"2021"
"136","Nordeste","qua","pri",1065,"2021"
"137","Sudeste","ter","fed",18565,"2021"
"138","Sudeste","ter","est",747616,"2021"
"139","Sudeste","ter","mun",10179,"2021"
"140","Sudeste","ter","pri",146643,"2021"
"141","Sudeste","qua","fed",2683,"2021"
"142","Sudeste","qua","est",2419,"2021"
"143","Sudeste","qua","mun",298,"2021"
"144","Sudeste","qua","pri",692,"2021"
"145","Sul","ter","fed",9764,"2021"
"146","Sul","ter","est",230779,"2021"
"147","Sul","ter","mun",1093,"2021"
"148","Sul","ter","pri",42347,"2021"
"149","Sul","qua","fed",4406,"2021"
"150","Sul","qua","est",12997,"2021"
"151","Sul","qua","mun",235,"2021"
"152","Sul","qua","pri",74,"2021"
"153","Centro-Oeste","ter","fed",6449,"2021"
"154","Centro-Oeste","ter","est",151651,"2021"
"155","Centro-Oeste","ter","mun",253,"2021"
"156","Centro-Oeste","ter","pri",24064,"2021"
"157","Centro-Oeste","qua","fed",423,"2021"
"158","Centro-Oeste","qua","est",491,"2021"
"159","Centro-Oeste","qua","mun",0,"2021"
"160","Centro-Oeste","qua","pri",7,"2021"
